_id,agregadoPor,fecha,msg
62c76103194c4855f8cacf56,foro@libreriacoder.com,7117764401595154433,Bienvenido
62c76103194c4855f8cacf57,juan@gmail.com,7117764401595154434,"Hola, soy juan"
62c76103194c4855f8cacf58,david@gmail.com,7117764401595154435,Yo david 
62c76103194c4855f8cacf59,juan@gmail.com,7117764401595154436,Que bueno esta el nuevo libro de Harry
62c76103194c4855f8cacf5a,david@libreriacoder.com,7117764401595154437,cual edicion no la vi aun?
62c76103194c4855f8cacf5b,lucas@gmail.com,7117764401595154438,La segunda edicion
62c76103194c4855f8cacf5c,fernando@libreriacoder.com,7117764401595154439,El precio es de 3400 pesos
62c76103194c4855f8cacf5d,juan@gmail.com,7117764401595154440,Tan caro!!!
62c76103194c4855f8cacf5e,lucas@gmail.com,7117764401595154441,"Y bue, es la inflacion"
62c76103194c4855f8cacf5f,juan@gmail.com,7117764401595154442,"Paso, no lo compro ni a palos"
